100010|Address: Soetenkamp PLZ: 86751 City: Mönchsdeggingen
100011|Address: Wolbecker Str.  136 PLZ: 96049 City: Bamberg
100012|Address:  38 Hahnenstr. PLZ: 27305 City: Bruchhausen-Vilsen
100013|Address:  134 Südstr. PLZ: 97450 City: Arnstein
100014|Address: Werseblick  193 PLZ: 27570 City: Bremerhaven
100015|Address:  54 Mondstr. PLZ: 96172 City: Mühlhausen
100016|Address:  27 Münsterstr. PLZ: 61352 City: Bad Homburg vor der Höhe
100017|Address:  97 Beuelsweg PLZ: 29559 City: Wrestedt
100018|Address: Pötterhoek  130 PLZ: 94333 City: Geiselhöring
100019|Address:  183 Salzmannstr. PLZ: 09224 City: Grüna
100020|Address: Mondstr.  20 PLZ: 83527 City: Kirchdorf
100021|Address:  111 Gartenstr. PLZ: 06886 City: Lutherstadt Wittenberg
100022|Address: Rüschhausweg  94 PLZ: 92287 City: Schmidmühlen
100023|Address:  123 Mierendorffstr. PLZ: 47053 City: Duisburg
100024|Address: Hoove PLZ: 24891 City: Struxdorf
100025|Address:  33 Eifelstr. PLZ: 94559 City: Niederwinkling
100026|Address: Dachsleite  196 PLZ: 97511 City: Lülsfeld
100027|Address: Schubertstr.  184 PLZ: 04828 City: Bennewitz
100028|Address:  153 Am Berler Kamp PLZ: 34369 City: Hofgeismar
100029|Address:  19 Frauenstr. PLZ: 24238 City: Mucheln
100030|Address: Hüfferstr.  46 PLZ: 29584 City: Himbergen
100031|Address:  17 Pankokstr. PLZ: 16928 City: Gerdshagen
100032|Address: Kanalstr.  145 PLZ: 15306 City: Falkenhagen
100033|Address: Kreuzstr.  134 PLZ: 82433 City: Bad Kohlgrub
100034|Address:  48 Sentmaringer Weg PLZ: 04552 City: Lobstädt
100035|Address:  77 Dorotheenstr. PLZ: 38368 City: Querenhorst
100036|Address:  79 Görlitzer Str. PLZ: 19230 City: Belsch
100037|Address:  188 Gildenstr. PLZ: 86922 City: Eresing
100038|Address:  52 Sporckweg PLZ: 83416 City: Saaldorf-Surheim
100039|Address: Unter Kahlenhausen PLZ: 94551 City: Lalling
100040|Address: Angelstr.  145 PLZ: 57518 City: Steineroth
100041|Address: Kirchstr.  189 PLZ: 97828 City: Marktheidenfeld
100042|Address: Am Grauen Stein PLZ: 85716 City: Unterschleißheim
100043|Address: Am Ziegelofen  11 PLZ: 25917 City: Stadum
100044|Address: Starweg  39 PLZ: 31180 City: Giesen
100045|Address: Zum Guten Hirten  36 PLZ: 78354 City: Sipplingen
100046|Address:  3 Rinscheweg PLZ: 56767 City: Kaperich
100047|Address: Zur Wiese  182 PLZ: 25873 City: Oldersbek
100048|Address:  40 Steinfurter Str. PLZ: 94107 City: Untergriesbach
100049|Address:  141 Sophienstr. PLZ: 95615 City: Marktredwitz
100050|Address: Schubertstr. PLZ: 90471 City: Nürnberg
100051|Address: Liboristr. PLZ: 60433 City: Frankfurt am Main
100052|Address: Vorgebirgstr.  88 PLZ: 76532 City: Baden-Baden
100053|Address: Baumberger Str.  104 PLZ: 41812 City: Erkelenz
100054|Address: Overbergstr. PLZ: 58708 City: Menden
100055|Address:  85 Kröver Str. PLZ: 89180 City: Berghülen
100056|Address: Bielefelder Str. PLZ: 49586 City: Merzen
100057|Address: Enschedeweg  62 PLZ: 16244 City: Finowfurt
100058|Address:  98 Norbertstr. PLZ: 97359 City: Schwarzach am Main
100059|Address: Münzstr.  177 PLZ: 54422 City: Börfink
100060|Address: Möserweg  114 PLZ: 56593 City: Horhausen
100061|Address: Sporckweg  101 PLZ: 54675 City: Lahr
100062|Address:  12 Im Draum PLZ: 59425 City: Unna
100063|Address: Ulmenweg  200 PLZ: 55296 City: Harxheim
100064|Address: Gildenstr. PLZ: 65223 City: Taunusstein
100065|Address: Eibenweg  32 PLZ: 64291 City: Darmstadt
100066|Address: Dachsleite PLZ: 82393 City: Iffeldorf
100067|Address:  62 Jägerstr. A PLZ: 55743 City: Fischbach
100068|Address: Norbertstr.  156 PLZ: 37130 City: Gleichen
100069|Address: Nienkamp  88 PLZ: 24848 City: Klein Bennebek
100070|Address: Gartenstr. PLZ: 88718 City: Daisendorf
100071|Address:  159 Heisstr. PLZ: 12555 City: Treptow-Köpenick
100072|Address: Cheruskerstr.  149 PLZ: 97274 City: Leinach
100073|Address:  79 Raesfeldstr. PLZ: 63594 City: Hasselroth
100074|Address: Dingbängerweg  174 PLZ: 88279 City: Amtzell
100075|Address: Agrippastr.  102 PLZ: 25497 City: Prisdorf
100076|Address:  46 Sternstr. PLZ: 76857 City: Rinnthal
100077|Address:  108 Cheruskerstr. PLZ: 45134 City: Essen
100078|Address: Böttcherstr.  119a PLZ: 36284 City: Hohenroda
100079|Address:  182 Merheimer Str. PLZ: 23898 City: Kühsen
100080|Address:  90 Simon-Meister-Str. PLZ: 55595 City: Weinsheim
100081|Address:  153 Lammerbach PLZ: 24245 City: Großbarkau
100082|Address:  19 Lammerbach PLZ: 94535 City: Eging am See
100083|Address:  186 Marktstr. PLZ: 49453 City: Wetschen
100084|Address: Kochwiesenstr. PLZ: 95706 City: Schirnding
100085|Address: Christinastr.  87 PLZ: 54523 City: Dierscheid
100086|Address:  160 Deutz-Kalker Str. PLZ: 54349 City: Trittenheim
100087|Address: Rennbahnstr.  89 PLZ: 48308 City: Senden
100088|Address: Jakobusstr.  48 PLZ: 54649 City: Lauperath
